iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate
ATG,North America,Antigua and Barbuda,2021-02-06,288.0,11.0,10.0,7.0,0.0,0.0,2917.106,111.417,101.288,70.902,0.0,0.0,1.25
ATG,North America,Antigua and Barbuda,2021-02-07,299.0,11.0,9.286,7.0,0.0,0.0,3028.523,111.417,94.054,70.902,0.0,0.0,1.26
ATG,North America,Antigua and Barbuda,2021-02-08,316.0,17.0,11.714,7.0,0.0,0.0,3200.713,172.19,118.652,70.902,0.0,0.0,1.27
ATG,North America,Antigua and Barbuda,2021-02-09,316.0,0.0,9.571,8.0,1.0,0.143,3200.713,0.0,96.947,81.031,10.129,1.447,1.27
ATG,North America,Antigua and Barbuda,2021-02-10,350.0,34.0,14.429,9.0,1.0,0.286,3545.094,344.381,146.145,91.16,10.129,2.894,1.28
ATG,North America,Antigua and Barbuda,2021-02-11,381.0,31.0,16.143,9.0,0.0,0.286,3859.088,313.994,163.508,91.16,0.0,2.894,1.28
ATG,North America,Antigua and Barbuda,2021-02-12,419.0,38.0,20.286,9.0,0.0,0.286,4243.983,384.896,205.471,91.16,0.0,2.894,1.28
ATG,North America,Antigua and Barbuda,2021-02-13,427.0,8.0,19.857,9.0,0.0,0.286,4325.014,81.031,201.13,91.16,0.0,2.894,1.26
ATG,North America,Antigua and Barbuda,2021-02-14,427.0,0.0,18.286,9.0,0.0,0.286,4325.014,0.0,185.213,91.16,0.0,2.894,1.26
ATG,North America,Antigua and Barbuda,2021-02-15,443.0,16.0,18.143,9.0,0.0,0.286,4487.076,162.061,183.766,91.16,0.0,2.894,1.25
ATG,North America,Antigua and Barbuda,2021-02-16,443.0,0.0,18.143,9.0,0.0,0.143,4487.076,0.0,183.766,91.16,0.0,1.447,1.25
ATG,North America,Antigua and Barbuda,2021-02-17,525.0,82.0,25.0,10.0,1.0,0.143,5317.64,830.565,253.221,101.288,10.129,1.447,1.25
